id,sheep.yr,age,surv,wt,wtt1,rec,rec1.wt,rec2.wt,mean.off.mass,pop.size
1103,1994,12,0,NA,NA,2,NA,NA,NA,435
1104,1986,4,1,NA,NA,0,NA,NA,NA,211
1104,1987,5,1,NA,NA,0,NA,NA,NA,331
1104,1988,6,1,NA,NA,0,NA,NA,NA,457
1104,1989,7,1,NA,NA,0,NA,NA,NA,211
1104,1990,8,1,NA,NA,0,NA,NA,NA,290
1104,1991,9,1,NA,NA,1,NA,NA,NA,414
1104,1992,10,1,NA,NA,1,NA,NA,NA,321
1104,1993,11,0,NA,NA,0,NA,NA,NA,443
1105,1986,4,1,23.5,NA,0,NA,NA,NA,211
1105,1987,5,1,NA,NA,0,NA,NA,NA,331
1105,1988,6,1,NA,NA,0,NA,NA,NA,457
1105,1989,7,1,NA,NA,0,NA,NA,NA,211
1105,1990,8,1,NA,NA,0,NA,NA,NA,290
1105,1991,9,0,NA,NA,0,NA,NA,NA,414
1106,1986,4,1,26.3,28.3,0,NA,NA,NA,211
1106,1987,5,1,28.3,NA,0,NA,NA,NA,331
1106,1988,6,1,NA,NA,1,NA,NA,NA,457
1106,1989,7,1,NA,NA,0,NA,NA,NA,211
1106,1990,8,1,NA,21.3,1,8.8,NA,8.8,290
1106,1991,9,0,21.3,NA,0,NA,NA,NA,414
1108,1986,4,1,NA,NA,0,NA,NA,NA,211
1108,1987,5,1,NA,NA,0,NA,NA,NA,331
1108,1988,6,1,NA,NA,0,NA,NA,NA,457
1108,1989,7,1,NA,NA,0,NA,NA,NA,211
1108,1990,8,1,NA,24,0,NA,NA,NA,290
1108,1991,9,1,24,21.9,0,NA,NA,NA,414
1108,1992,10,1,21.9,NA,0,NA,NA,NA,321
1108,1993,11,1,NA,NA,0,NA,NA,NA,443
1108,1994,12,1,NA,NA,0,NA,NA,NA,435
1108,1995,13,1,NA,NA,0,NA,NA,NA,357
1108,1996,14,0,NA,NA,0,NA,NA,NA,575
1109,1986,4,1,NA,27.5,0,NA,NA,NA,211
1109,1987,5,1,27.5,NA,1,NA,NA,NA,331
1109,1988,6,1,NA,NA,0,NA,NA,NA,457
1109,1989,7,1,NA,NA,1,13.2,NA,13.2,211
1109,1990,8,1,NA,26.8,0,NA,NA,NA,290
1109,1991,9,1,26.8,NA,2,NA,NA,NA,414
1109,1992,10,1,NA,NA,2,NA,NA,NA,321
1109,1993,11,1,NA,NA,0,NA,NA,NA,443
1109,1994,12,1,NA,25.6,0,NA,NA,NA,435
1109,1995,13,1,25.6,NA,0,NA,NA,NA,357
1109,1996,14,1,NA,NA,0,NA,NA,NA,575
1181,1986,4,1,NA,NA,0,NA,NA,NA,211
1181,1987,5,1,NA,NA,0,NA,NA,NA,331
1181,1988,6,0,NA,NA,0,NA,NA,NA,457
1225,1986,3,1,23.2,NA,1,NA,NA,NA,211
1225,1987,4,1,NA,NA,1,14.4,NA,14.4,331
1225,1988,5,1,NA,NA,0,NA,NA,NA,457
1225,1989,6,1,NA,25,0,NA,NA,NA,211
1225,1990,7,1,25,23.4,1,15.6,NA,15.6,290
1225,1991,8,1,23.4,NA,1,NA,NA,NA,414
1225,1992,9,1,NA,24.1,0,NA,NA,NA,321
1225,1993,10,1,24.1,22.5,1,13.5,NA,13.5,443
1225,1994,11,0,22.5,NA,0,NA,NA,NA,435
1226,1986,3,0,NA,NA,0,NA,NA,NA,211
1234,1986,3,1,NA,29,0,NA,NA,NA,211
1234,1987,4,1,29,29.6,0,NA,NA,NA,331
